title,link,published,summary,processed_on
Anant Raj shares in focus on Rs 4500crore investment plan in Andhra Pradesh,https://economictimes.indiatimes.com/markets/stocks/news/anant-raj-shares-in-focus-on-rs-4500-crore-investment-plan-in-andhra-pradesh/articleshow/125375373.cms,"Mon, 17 Nov 2025 08:56:40 +0530","Anant Raj will be in focus after announcing a Rs 4,500 crore investment to set up a data centre and IT park in Andhra Pradesh through its subsidiary ARCPL. The project is expected to create 16,000 jobs and add to its ongoing 307 MW data centre capacity expansion. Strong Q2FY26 results, rising revenues, and new real estate project clearances further highlight the company’s growth momentum.",2025-11-17
Alembic Pharmaceuticals shares in focus after USFDA nod for key hypertension drug,https://economictimes.indiatimes.com/markets/stocks/news/alembic-pharmaceuticals-shares-in-focus-after-usfda-nod-for-key-hypertension-drug/articleshow/125375170.cms,"Mon, 17 Nov 2025 08:39:41 +0530","Alembic Pharmaceuticals will be in focus after securing final USFDA approval for Diltiazem Hydrochloride Tablets, a widely used treatment for high blood pressure and angina. The drug is deemed therapeutically equivalent to Bausch Health’s Cardizem. With this approval, Alembic’s total ANDA count rises to 230. The stock closed at Rs 904.20 on Friday, down 14% so far in 2025.",2025-11-17
Muthoot Finance among 6 stocks witnessing 5year swing high breakouts,https://economictimes.indiatimes.com/markets/stocks/news/muthoot-finance-among-6-stocks-witnessing-5-year-swing-high-breakouts/slideshow/125375147.cms,"Mon, 17 Nov 2025 08:33:02 +0530",A 5-year swing high represents the highest price a stock has reached within a five-year period. This level often acts as a significant resistance zone where the price has historically struggled to move higher.,2025-11-17
Maruti Suzuki shares in focus as company recalls 39506 Grand Vitara units,https://economictimes.indiatimes.com/markets/stocks/news/maruti-suzuki-shares-in-focus-as-company-recalls-39506-grand-vitara-units/articleshow/125375068.cms,"Mon, 17 Nov 2025 08:32:08 +0530","Maruti Suzuki will be in focus after recalling 39,506 Grand Vitara SUVs manufactured between December 2024 and April 2025 due to faulty fuel-level indicators. The company will inspect and replace parts free of cost. The recall comes as the Grand Vitara remains a top performer, driven by rising demand for its Strong Hybrid variants. Maruti’s stock closed at Rs 15,678 on Friday.",2025-11-17
DOMS Industries Amber Enterprises among 7 stocks showing bullish signals,https://economictimes.indiatimes.com/markets/stocks/news/doms-industries-amber-enterprises-among-7-stocks-showing-bullish-signals/slideshow/125375010.cms,"Mon, 17 Nov 2025 08:24:22 +0530","Characterised by a long white (or green) candlestick with no upper shadow and a small or nonexistent lower shadow, it signals strong buying pressure throughout the session.",2025-11-17
Godrej Consumer and 5 other stocks showing bullish RSI upswing,https://economictimes.indiatimes.com/markets/stocks/news/godrej-consumer-and-5-other-stocks-showing-bullish-rsi-upswing/slideshow/125374938.cms,"Mon, 17 Nov 2025 08:20:58 +0530","An uptrend signal is generated when the RSI crosses above 50 from below. “RSI trending up” indicates rising Relative Strength Index (RSI) values, suggesting strengthening price momentum.",2025-11-17
Tata Motors PV shares in focus on JLR  guidance cut Q2 net profit on onetime gain,https://economictimes.indiatimes.com/markets/stocks/news/tata-motors-pv-shares-in-focus-on-jlr-guidance-cut-q2-net-profit-on-one-time-gain/articleshow/125374708.cms,"Mon, 17 Nov 2025 08:11:25 +0530","Tata Motors shares are under investor watch. The company reported weak September quarter results. Its luxury unit, Jaguar Land Rover, also cut its guidance. This follows a cyber incident impacting Jaguar Land Rover's performance. Despite challenges, Tata Motors' domestic operations showed resilience. The company's multi-powertrain portfolio, including EVs, drove growth.",2025-11-17
Kotak Mahindra Bank shares in focus as board considers first stock split in 15 years Check details,https://economictimes.indiatimes.com/markets/stocks/news/kotak-mahindra-bank-shares-in-focus-as-board-considers-first-stock-split-in-15-years-check-details/articleshow/125374669.cms,"Mon, 17 Nov 2025 08:09:12 +0530","Kotak Mahindra Bank's board will consider a share split proposal on November 21, potentially making its stock more accessible. The bank's Q2 earnings met expectations, though margins saw a sequential dip. Analysts remain cautious, citing underperformance in NIM and slippage trends compared to peers.",2025-11-17
Adani Ent Share Price Live Updates Adani Enterprises showcases impressive returns,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/adani-ent-share-price-today-live-17-nov-2025/liveblog/125374667.cms,"Mon, 17 Nov 2025 08:08:47 +0530",,2025-11-17
Tata Motors PV Share Price Live Updates Tata Motors PVs recent downturn,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/tata-motors-pv-share-price-today-live-17-nov-2025/liveblog/125374664.cms,"Mon, 17 Nov 2025 08:08:21 +0530",,2025-11-17
Bajaj Auto Share Price Live Updates Bajaj Autos threemonth return reflects market strength,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/bajaj-auto-stock-price-live-updates-17-nov-2025/liveblog/125374659.cms,"Mon, 17 Nov 2025 08:07:59 +0530",,2025-11-17
HDFC Bank Share Price Live Updates HDFC Banks 3Month Return Overview,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/hdfc-bank-share-price-live-updates-17-nov-2025/liveblog/125374652.cms,"Mon, 17 Nov 2025 08:07:35 +0530",,2025-11-17
Infosys Share Price Live Updates Strong performance from Infosys in the last quarter,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/infosys-share-price-today-live-updates-17-nov-2025/liveblog/125374646.cms,"Mon, 17 Nov 2025 08:07:11 +0530",,2025-11-17
HUL Share Price Live Updates HULs recent returns signal a downward trend,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/hul-share-price-live-17-nov-2025/liveblog/125374643.cms,"Mon, 17 Nov 2025 08:06:47 +0530",,2025-11-17
Maruti Suzuki Share Price Live Updates Maruti Suzuki shares in focus as company recalls 39506 Grand Vitara units,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/maruti-suzuki-stock-price-live-updates-17-nov-2025/liveblog/125374635.cms,"Mon, 17 Nov 2025 08:06:24 +0530",,2025-11-17
ITC Share Price Live Updates ITCs returns indicate a minor setback,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/itc-share-price-today-live-updates-17-nov-2025/liveblog/125374629.cms,"Mon, 17 Nov 2025 08:06:02 +0530",,2025-11-17
Hindalco Share Price Live Updates Hindalcos recent performance highlights,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/hindalco-share-price-live-updates-17-nov-2025/liveblog/125374626.cms,"Mon, 17 Nov 2025 08:05:56 +0530",,2025-11-17
TCS Share Price Live Updates TCSs recent returns signal positive market sentiment,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/tcs-stock-price-livestock-price-today-live-updates-17-nov-2025/liveblog/125374620.cms,"Mon, 17 Nov 2025 08:05:38 +0530",,2025-11-17
UltraTech Cem Share Price Live Updates UltraTech Cements recent returns reflect market challenges,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/ultratech-cem-share-price-live-17-nov-2025/liveblog/125374619.cms,"Mon, 17 Nov 2025 08:05:37 +0530",,2025-11-17
HCL Tech Share Price Live Updates HCL Techs threemonth performance highlights,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/hcl-tech-stock-price-today-live-17-nov-2025/liveblog/125374616.cms,"Mon, 17 Nov 2025 08:05:33 +0530",,2025-11-17
UPL Share Price Live Updates UPL reports impressive returns over the last three months,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/upl-share-price-live-updates-17-nov-2025/liveblog/125374612.cms,"Mon, 17 Nov 2025 08:05:16 +0530",,2025-11-17
Tech Mahindra Share Price Live Updates Tech Mahindras Recent Market Trends,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/tech-mahindra-share-price-today-live-17-nov-2025/liveblog/125374611.cms,"Mon, 17 Nov 2025 08:05:14 +0530",,2025-11-17
LampT Share Price Live Updates LampT achieves notable returns in recent months,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/lt-stock-price-live-updates-17-nov-2025/liveblog/125374607.cms,"Mon, 17 Nov 2025 08:05:12 +0530",,2025-11-17
LTIMindtree Share Price Live Updates LTIMindtree achieves notable returns,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/ltimindtree-stock-price-today-live-17-nov-2025/liveblog/125374600.cms,"Mon, 17 Nov 2025 08:04:53 +0530",,2025-11-17
Bajaj Finance Share Price Live Updates Bajaj Finances threemonth performance impresses investors,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/bajaj-finance-stock-price-live-updates-17-nov-2025/liveblog/125374598.cms,"Mon, 17 Nov 2025 08:04:50 +0530",,2025-11-17
Wipro Share Price Live Updates Wipros Recent Financial Performance,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/wipro-stock-price-livestock-price-today-live-updates-17-nov-2025/liveblog/125374597.cms,"Mon, 17 Nov 2025 08:04:50 +0530",,2025-11-17
Britannia Share Price Live Updates Britannias 3month performance highlights,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/britannia-share-price-live-updates-17-nov-2025/liveblog/125374588.cms,"Mon, 17 Nov 2025 08:04:31 +0530",,2025-11-17
NTPC Share Price Live Updates NTPCs performance under scrutiny with negative returns,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/ntpc-share-price-today-live-updates-17-nov-2025/liveblog/125374587.cms,"Mon, 17 Nov 2025 08:04:28 +0530",,2025-11-17
SBI Life Share Price Live Updates SBI Lifes threemonth return indicates strong market confidence,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/sbi-life-share-price-today-live-17-nov-2025/liveblog/125374586.cms,"Mon, 17 Nov 2025 08:04:26 +0530",,2025-11-17
Divis Labs Share Price Live Updates Divis Labs shows strong performance over the last three months,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/divis-labs-stock-price-today-live-17-nov-2025/liveblog/125374580.cms,"Mon, 17 Nov 2025 08:04:10 +0530",,2025-11-17
Axis Bank Share Price Live Updates Axis Banks robust threemonth returns attract attention,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/axis-bank-stock-price-today-live-17-nov-2025/liveblog/125374579.cms,"Mon, 17 Nov 2025 08:04:06 +0530",,2025-11-17
MampM Share Price Live Updates MampM records significant gains in threemonth returns,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/mm-stock-price-livestock-price-today-live-updates-17-nov-2025/liveblog/125374578.cms,"Mon, 17 Nov 2025 08:04:05 +0530",,2025-11-17
Titan Company Share Price Live Updates Titan Company achieves notable returns,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/titan-company-stock-price-today-live-17-nov-2025/liveblog/125374570.cms,"Mon, 17 Nov 2025 08:03:47 +0530",,2025-11-17
Grasim Inds Share Price Live Updates Grasim Industries threemonth return analysis,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/grasim-inds-share-price-live-17-nov-2025/liveblog/125374569.cms,"Mon, 17 Nov 2025 08:03:43 +0530",,2025-11-17
Bharti Airtel Share Price Live Updates Bharti Airtels 3Month Return Analysis,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/bharti-airtel-stock-price-live-updates-17-nov-2025/liveblog/125374567.cms,"Mon, 17 Nov 2025 08:03:43 +0530",,2025-11-17
ONGC Share Price Live Updates ONGCs Performance Snapshot,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/ongc-stock-price-livestock-price-today-live-updates-17-nov-2025/liveblog/125374562.cms,"Mon, 17 Nov 2025 08:03:26 +0530",,2025-11-17
